State	series_id	year	month	value	month_year
Georgia	LAUCA134960000000004          	2017	6	12875.0	06_2017
Georgia	LAUCA134960000000004          	2018	6	11206.0	06_2018
Georgia	LAUCA134960000000004          	2019	6	10164.0	06_2019
Georgia	LAUCA134960000000004          	2020	6	22635.0	06_2020
Georgia	LAUCA134960000000005          	2015	6	226592.0	06_2015
Georgia	LAUCA134960000000005          	2016	6	236112.0	06_2016
Georgia	LAUCA134960000000005          	2017	6	245525.0	06_2017
Georgia	LAUCA134960000000005          	2018	6	250842.0	06_2018
Georgia	LAUCA134960000000005          	2019	6	254442.0	06_2019
Georgia	LAUCA134960000000005          	2020	6	233932.0	06_2020
Georgia	LAUCA134960000000006          	2015	6	242072.0	06_2015
Georgia	LAUCA134960000000006          	2016	6	250746.0	06_2016
Georgia	LAUCA134960000000006          	2017	6	258400.0	06_2017
Georgia	LAUCA134960000000006          	2018	6	262048.0	06_2018
Georgia	LAUCA134960000000006          	2019	6	264606.0	06_2019
Georgia	LAUCA134960000000006          	2020	6	256567.0	06_2020
Georgia	LAUCN130010000000003          	2015	6	8.0	06_2015
Georgia	LAUCN130010000000003          	2016	6	6.3	06_2016
Georgia	LAUCN130010000000003          	2017	6	6.4	06_2017
Georgia	LAUCN130010000000003          	2018	6	4.7	06_2018
Georgia	LAUCN130010000000003          	2019	6	4.8	06_2019
Georgia	LAUCN130010000000003          	2020	6	5.2	06_2020
Georgia	LAUCN130010000000004          	2015	6	704.0	06_2015
Georgia	LAUCN130010000000004          	2016	6	592.0	06_2016
Georgia	LAUCN130010000000004          	2017	6	603.0	06_2017
Georgia	LAUCN130010000000004          	2018	6	430.0	06_2018
Georgia	LAUCN130010000000004          	2019	6	432.0	06_2019
Georgia	LAUCN130010000000004          	2020	6	470.0	06_2020
Georgia	LAUCN130010000000005          	2015	6	8094.0	06_2015
Georgia	LAUCN130010000000005          	2016	6	8819.0	06_2016
Georgia	LAUCN130010000000005          	2017	6	8826.0	06_2017
Georgia	LAUCN130010000000005          	2018	6	8694.0	06_2018
Georgia	LAUCN130010000000005          	2019	6	8651.0	06_2019
Georgia	LAUCN130010000000005          	2020	6	8626.0	06_2020
Georgia	LAUCN130010000000006          	2015	6	8798.0	06_2015
