Sr.No,City,2010 Census,2005(Estt.),2004(Estt.),2003(Estt.),2002(Estt.),2001(Estt.),2000 Census
108,Union City,"3,584","3,471","3,480","3,513","3,553","3,585","3,622"
109,Valparaiso,"31,730","29,102","28,750","28,583","28,344","27,969","27,428"
110,Vincennes,"18,423","18,077","18,105","18,076","18,570","18,629","18,701"
111,Wabash,"10,666","11,209","11,342","11,376","11,482","11,579","11,743"
112,Warsaw,"13,559","12,735","12,672","12,713","12,527","12,533","12,415"
113,Washington,"11,509","11,357","11,304","11,286","11,263","11,285","11,380"
114,West Lafayette,"29,596","28,599","28,609","28,840","28,664","28,231","28,778"
115,Westfield,"30,068",,,,,,"9,293"
116,Whiting,"4,997","4,893","4,936","4,977","5,018","5,070","5,137"
117,Winchester,"4,935","4,845","4,856","4,901","4,965","5,009","5,037"
118,Woodburn,"1,520","1,635","1,631","1,625","1,612","1,603","1,579"
